job-href,job,content,types,salary,business_trip
https://www.104.com.tw/job/72z57?jobsource=joblist_search,品管人員,"1.檢查、測試、或測量材料、產品、裝置，使之符合規格。
2.使用測量儀器（如：尺規或測微器等）測量產品的尺寸以符合規格。
3.分析及解釋藍圖、數據、手冊和其他材料，以確定規格、檢驗程序、測試程序、調整方法、檢定方法等。
4.收集或挑選樣本，以進行測試或作為模型使用。
5.分析、計算測驗數據，以確認測試結果。,不拘,不拘,不拘","品管／檢驗人員
、ISO／品保人員
、測試人員","月薪28,590~30,000元",無需出差外派
https://www.104.com.tw/job/75fq8?jobsource=joblist_search,【台中/西屯】測試工程師（無相關工作經驗可）,"工作內容
1. 研擬產品測試計畫。
2. 參與產品測試（手動／自動化）。
3. 提出改善建議與撰寫測試報告。
4. 協助自動化測試流程規劃與開發。

能力需求
1. Python,C,PHP 至少一種程式語言開發經驗。
2. 具網路基本概念相關知識（具CCNA者佳）。
3. 能在 linux 系統環境作業。
3. 善溝通協調，具良好的分析能力，工作主動積極，並嚴謹執行測試任務。
加分條件：有自動化測試相關經驗者。,不拘,C、PHP、Python
提升專業能力
提升專業能力,不拘","軟韌體測試工程師
、測試人員
、軟體工程師","月薪36,000~45,000元",無需出差外派
https://www.104.com.tw/job/6juxz?jobsource=joblist_search,日班品管檢驗員,"1.IQC進料檢驗
2.FQC成品檢驗
3.OQC出貨檢驗
4產品尺寸量測
5.報表填寫與紀錄、標記產品檢驗結果
6.協助處理不合格品
7.工作內容:除薪資外，每月加班費另計，另有獎勵金,不拘,Excel、Word
提升專業能力
提升專業能力,不拘","品管／檢驗人員
、測試人員","月薪32,000~37,000元",無需出差外派
https://www.104.com.tw/job/8kp5q?jobsource=joblist_search,241204品質管理部 品檢員(大甲幼獅工業區),"【工作說明與條件】
1.原物料與產品檢驗作業。
2.儀器點檢與操作。
3.具品檢經驗佳。
4.須能配合平日、節(假)日加班。
5.細心、負責、配合度佳。

【上班地點與新訓地點】
1.上班地點：智勝科技-大甲廠(台中市大甲區青年路123之1號)。
2.面試地點：智勝科技-大甲廠(台中市大甲區青年路123之1號)
                      或智勝科技-本廠(台中市西屯區工業區9路12號)。
3.新人訓/報到(第一日)：統一為智勝科技-本廠(台中市西屯區工業區9路12號)。,未填寫,不拘,不拘","品管／檢驗人員
、ISO／品保人員
、測試人員","月薪30,000~35,000元",無需出差外派
https://www.104.com.tw/job/8gzan?jobsource=joblist_search,測試工程師(彈性上下班),"1. 測試計畫規劃撰寫
2. 測試環境建立
3. 產品測試與問題分析
4. 測試報告相關文件撰寫
5. 測試程式撰寫(Python, Labview)
6. 測試項目 : 觸覺感測器 (例如 : 訊號及功能、基礎RF測試、突波測試、電池測試等) 、成品測試。
7. 使用儀器：示波器等
8.可配合短期出差優先
其他：
1.有測試Wi-Fi, Bluetooth通訊、電池相關經歷佳
2.具主動積極、正向思考、謹慎細心

備註：本職缺未來工作地點會移至中部科學園區,不拘,不拘,功能測試(function test)、使用者測試(Usability test)、問題追蹤處理(Bug tracking)、軟體整合測試、測試環境建置規劃、測試計劃及測試報告書撰寫","硬體測試工程師
、軟韌體測試工程師
、測試人員","月薪39,000~49,000元",需出差，一年累積時間約一個月以下
https://www.104.com.tw/job/7vt7u?jobsource=joblist_search,CP_(早班)工程員,"1.負責生產線機器.設備之操作。
2.進行產品檢驗作業。,不拘,不拘,不拘","其他機械操作員
、作業員／包裝員
、測試人員","月薪28,590~30,000元",無需出差外派
https://www.104.com.tw/job/85ygb?jobsource=joblist_search,研發行政助理,"1. 協助研發人員處理相關行政作業。
2. 參與新產品測試與手冊撰寫。
3. 研發部門文書處理 (料號建立、BOM表管理、圖面發行與維護、研發領料..等)
4. 依要求完成訓練、部門工作與主管指派任務
5. 協助統計資料及分析報告製作,不拘,不拘,文件收發與檔案管理、產品或零件測試驗證、製作規格說明書","測試人員
、行政助理","月薪30,000~35,000元",無需出差外派
https://www.104.com.tw/job/8luoq?jobsource=joblist_search,高分子測試工程師(台中),"測試服務，高分子材料測試。
台中北屯區上班，前期需再台北實驗室教育訓練2-3個月，提供租屋補助、交通費用
技術諮詢，提供完整內/外部教育訓練，以因應顧客測試技術上的詢問。
規範研讀，依顧客提供之國內外法規，研讀法規提升測試技術。
顧客聯繫，與顧客溝通測試細節，以確保測試結果正確性等。
理工科系相關(化學工程，材料工程等)等尤佳,台中北屯區上班，前期需再台北實驗室教育訓練2-3個月，提供租屋補助、交通費用,不拘,產品驗證作業、實驗室設備操作、材料評估測試、產品材料分析","實驗化驗人員
、品管／檢驗人員
、測試人員","月薪30,000~45,000元",無需出差外派
https://www.104.com.tw/job/8nkco?jobsource=joblist_search,三次元量測員,"1.量測產品或零件，確保其符合規範
2.組裝產品並量測數據
3. 與其他部門合作，解決生產和品質方面的問題
4. 分析數據
5.建立SOP文件
6.執行主管交辦事項,不拘,不拘,不拘","測試人員
、品管／檢驗人員
、品管／品保工程師","月薪30,000元以上",無需出差外派
https://www.104.com.tw/job/8n6jn?jobsource=joblist_search,品保工程師,"1. 執行測試及驗證等產品活動及報告產出
2. 制定、實施及監督產品品質標準與回饋。
3. 協助確認產品規格參數，制定性能測試方法及允收標準。
4. 協助各項產品風險管理活動之規畫及執行。
5. 跨部門協調之工作。
6. 臨時性測試需求之評估與執行,未填寫,不拘,不拘","測試人員
、品管／品保工程師
、可靠度工程師","月薪33,000~38,000元",無需出差外派
