job-href,job,content,types,salary,business_trip
https://www.104.com.tw/job/7xau3?jobsource=joblist_search,前端工程師(台中)-B856,"1. 熟悉網頁版面規劃、套版、特效互動設計
2. 與視覺設計師、後端工程師合作，開發前端互動功能
3. 熟悉前端建置與佈署
4. 負責網站前端系統開發，優化用戶端功能設計
5. 熟悉 RWD 開發
6. 對學習新技術具有熱情，具備良好的溝通及團隊合作能力
7. 熟悉 HTML5、CSS3、JS、TypeScript
8. 熟悉 React.js, Angular, Vue.js 任一個開發框架,不拘,不拘,不拘","軟體工程師
、其他資訊專業人員",待遇面議,無需出差外派
https://www.104.com.tw/job/8js1o?jobsource=joblist_search,台中分公司-程控軟體工程師,"公司是儀電工程承包商也是能源設備代理商
桃園台中台南都有分公司

工作項目為：
各大品牌PLC系統  GE .AB. SIEMSEN等 
1. 程控系統 PLC / DCS  程式編寫與設計  
2. 設備機台 PLC / HMI  程式編寫與設計
3. SQL Server 資料庫應用編寫設計
4. 石化廠區程序系統 / 電子廠專用設備 / 各種PLC / HMI  / DCS都有學習機會
5. 處理主管交辦事務
6. 基本迴路設計圖繪製

公司提供完整作業環境與專業教育訓練，所有工作技能皆可於本公司習得，
到職後須先至高雄總公司教育訓練一個月，公司提供交通與住宿。,1. 需配合出差，至客戶端進行系統測試、設備測試。
2. 需肯學習、有責任、具有上進心與主動學習的精神。
3. 由於工作內容涉及顏色辨識，對於基本顏色辨識有困難者，請勿投遞履歷。,Visual Basic、Excel、Word、AutoCAD
提升專業能力
提升專業能力,不拘","自動控制工程師
、軟體工程師
、其他資訊專業人員","月薪35,000~40,000元",需出差，一年累積時間約三個月以下
https://www.104.com.tw/job/87w9i?jobsource=joblist_search,【TWJOIN．台中】Front-end Developer 前端工程師(React),"▍About TWJOIN 哲煜科技
想知道用有100+以上專案經驗的團隊一起合作是什麼樣的感覺嗎？

TWJOIN哲煜科技 擁有豐富的工程師資源以及跨足AI、IoT、手機裝置應用、穿戴裝置、FinTech、Social社群應用的專案，更有一群已累積多元經驗的PM夥伴！
你的生活每天就是跟設計、工程師、PM同事，一起幫助客戶打造他們夢想中的產品！

各種你想得到、想不到的專案，在哲煜科技應該都能提供給你

▍為什麼加入哲煜科技？
喜歡研究追求最新技術
對於不同的商業邏輯專案躍躍欲試
想挑戰中大型的專案
享受團隊合作帶來的成就感
期待有一群尊重專業，好溝通的合作夥伴
偶爾需要行走的多肉貓咪櫓一下
我們團隊將非常適合你團隊

---------------------------------------
《 職務依技術核薪，能力佳可再談 》

▍TWJOIN的 Front-end Developer 要從事的工作：
．企劃、設計、後端人員協同合作完成客製化專案含：做版面規劃、套版、特效、互動設計等
．網站前端新技術導入與分享 
．前端與後端工程師協同合作，做資料傳遞與呈現 
．評估工作時數與擬定工作進度
．撰寫相關開發文件
．針對專案依職務專業提供建設性建議

▍TWJOIN的  Front-end Developer 需有以下條件/技能：
．具備 Javascript 框架經驗 React 。
．具備 Sass/SCSS 開發經驗 
．熟悉 HTML、CSS、W3C 標準、SEO 語意及各瀏覽器相容性 
．熟悉 HTML5 Tag、CSS3 效果及 SVG 動畫 
．具備 Git 版本控制系統使用經驗 
．熟悉跨裝置與跨瀏覽器相容技術 
．Bootstrap 或其他 CSS Grid System
．能夠解讀 API 文件與串接 RestFul API
．必須在工作中運用 AI 工具來提升效率與生產力，並能主動學習 AI 技術，以優化工作流程。

▍TWJOIN的夥伴有以下特質：
‧ 樂於挑戰、具高度責任感、自主學習、獨立思考及獨立作業能力
‧ 工作配合度高，跨部門溝通協調能力強
‧ 絕對遵守團隊合作的原則
‧ 願意與他人技術分享交流,不拘,Git、HTML、JavaScript、jQuery、CSS、Sass、Node.js、ReactJS
提升專業能力
提升專業能力,不拘","Internet程式設計師
、網頁設計師
、其他資訊專業人員","月薪36,000~70,000元",無需出差外派
https://www.104.com.tw/job/8jajn?jobsource=joblist_search,東海大學人工智慧中心誠徵Python開發工程師,"-程式碼品質：
編寫高品質、易於維護的程式碼，熟悉最佳實踐和設計模式，確保程式碼的穩定性和可讀性。

-測試與除錯：
測試和調試程式碼，使用自動化測試框架和工具，保證應用程式的可靠性和性能。

-整合第三方庫與API：
整合第三方庫和API，以擴展Python的功能，提高開發效率。


*加分項目:
-數據分析、人工智慧：
理解數據分析和LLM的基礎知識，熟悉相關工具，能夠開發相應的應用程式。 具備Langchain、AI-Agent和GraphRAG等技術的實踐經驗尤佳。

-團隊協作能力：
具備良好的團隊協作能力，能與其他開發人員、項目經理及客戶進行有效溝通，共同完成項目開發與交付。,不拘,Git、Python、LLM
提升專業能力
提升專業能力,系統架構規劃、軟體程式設計","其他資訊專業人員
、軟體工程師","月薪40,000~68,000元",無需出差外派
https://www.104.com.tw/job/5ri5m?jobsource=joblist_search,D4000 Coupon Mongodb系統後端Java工程師【台中】,"我們正在尋找具有創造性和熱情的技術專家! 負責開發新系統架構、建立專案模板，以及設計 ELK 和 Grafana 監控系統。這個職位要求對新技術和系統架構有深入的理解，並能夠將它們應用到實際的項目中。
同時，我們正在尋找專注於開發電商系統特定業務領域的技術專家，能夠善用 NoSQL 的 MongoDB 來減輕對 Oracle 數據庫的讀寫負擔，並具備優化 MongoDB 查詢的能力。

【工作職責】
1. 設計並開發電商系統中特定業務領域的核心功能，並選擇適合的 NoSQL 技術，如 MongoDB，來減輕對 Oracle 數據庫的訪問負擔並優化 MongoDB 查詢，以確保系統性能和擴展性。
2. 使用 Spring Boot 框架開發 RESTful API，並優化代碼以提高系統的響應速度。整合消息佇列和 Redis

【技術要求】
1. 應用各種 Java 相關的工具和框架並開發高效、可靠的 Java 應用程序。
2. 具有 Spring Boot 框架的開發經驗。
3. 具有非關聯式和關聯資料庫開發經驗(Oracle, MongoDB 擇一)。
4. 具有 Redis 快取的使用和優化經驗。
5. 基本的 Linux 操作經驗，能夠進行基礎的文件、目錄的基本命令操作。

【加分項目】
1. 具有 Docker 和 Kubernetes 使用和管理經驗，熟悉微服務架構和相關的設計和實施。
2. 對於 GCP 雲端服務有實際使用經驗，包括 GCE、GKE、Cloud Pub/Sub 等。
3. HTML、CSS 和 JavaScript，並具備 Vue.js 或其他框架開發經驗。
4. 有在生產環境中設計和建構 ELK 和 Grafana 監控系統的經驗。,不拘,Linux、Java、Oracle、VueJS
提升專業能力
提升專業能力,不拘","Internet程式設計師
、軟體工程師
、其他資訊專業人員",待遇面議,無需出差外派
https://www.104.com.tw/job/7x2qr?jobsource=joblist_search,10R0-大數據中心 程式設計師,"1.大數據中心特色：
1.1. 跨科部合作，建構並整合高品質且多元的醫療大數據
1.2. 跨領域團隊國內外合作，進行優質研究與轉譯醫學應用
1.3. 提供成員不定期內外部訓練課程，支持多元發展

2.工作內容：
2.1. 開發Omics體學(如基因體、蛋白質體、代謝體、微生物體)分析所需之相關技術
2.2. 建置基因生物晶片以及次世代定序資料庫
2.3. 協助分析醫療大數據
2.4. 其它臨時交辦事項

3.學科專長：
3.1. 碩士以上
3.2. 資訊工程、生物資訊相關科系為佳(修習過生物醫學相關課程者尤佳)

4.徵求條件：
4.1. 需熟悉Linux 與 R或Python
4.2. 處理過Omics體學(如基因體、蛋白質體、代謝體、微生物體)資料者尤佳
4.3. 修習過生物相關課程者或具生物醫學知識背景者尤佳
4.4. 熱於學習、細心且具溝通協調能力,1.科系：資訊工程、生物資訊相關科系、統計系、生物統計系、流行病學系、護理系、公衛系、醫技系,不拘,不拘",其他資訊專業人員,"月薪40,000元以上",無需出差外派
https://www.104.com.tw/job/72se5?jobsource=joblist_search,Micron 2025 身心障礙人才招募專區 (台中),"Micron 身心障礙人才就業媒合專區 (工作地點:台中后里廠區)

1. 不限身障類別、程度，需持有身障手冊 
2. 學經歷: 學士以上、工作經驗不拘

只要對美光有興趣，歡迎您主動投遞履歷，將有專人根據您專長為您媒合最合適您的職缺!! 

美光看見您的未來：熱烈歡迎、大力徵求想拓展全球視野、體驗外商文化的您加入美光！

◆歡迎推薦身心障礙朋友投遞本公司履歷◆,不拘,不拘,不拘","半導體工程師
、工業工程師／生產線規劃
、其他資訊專業人員",待遇面議,無需出差外派
https://www.104.com.tw/job/3vcwv?jobsource=joblist_search,研發替代役--影像工程師,"1.影像處理演算法開發
2.影像檢測系統開發,1. 無色盲及色弱
2. 需配合加班,C、C#、C++、Python
提升專業能力
提升專業能力,不拘","演算法工程師
、軟體工程師
、其他資訊專業人員",待遇面議,無需出差外派
https://www.104.com.tw/job/6s44w?jobsource=joblist_search,視覺及人工智慧工程師,"1. 視覺及人工智慧相關產品開發。(包含影像處理、AI Model之專案開發及工具程式撰寫)
2. 與各產品部門之溝通協調。
3. 彙整及編寫相關產品文件。
4. 協助業務行銷、推廣產品。
5. 協助技術人員及客戶解決產品問題。,不拘,C、C#、C++、Python
提升專業能力
提升專業能力,不拘","軟體工程師
、自動控制工程師
、其他資訊專業人員",待遇面議,需出差，一年累積時間未定
https://www.104.com.tw/job/5km1l?jobsource=joblist_search,銑床控制器開發工程師,"針對銑床控制器進行相關二次開發項目(包含開放式人機、PLC及MACRO)的功能新增及維護。

此工作具備高挑戰性、歡迎對機械控制有熱誠的人才一起加入,不拘,不拘,不拘","軟體工程師
、其他資訊專業人員",待遇面議,需出差，一年累積時間未定
