job-href,job,content,types,salary,business_trip
https://www.104.com.tw/job/7xbm0?jobsource=joblist_search,資訊工程師,"1.機房設備管理維護
2.電腦管理維護
3.網路設備維護與管理
4.ERP、APS、MES、WMS系統學習與維護
5.其他主管交辦事項,不拘,不拘,不拘","MIS程式設計師
、系統工程師
、網路管理工程師","月薪33,000~38,000元",無需出差外派
https://www.104.com.tw/job/89088?jobsource=joblist_search,ASP.NET MVC 程式設計師-台中,"1. 熟悉 C# 
2. 熟悉MS SQL Server資料庫及語法，懂react者尤佳
3. 懂HTML、JavaScript、jQuery、CSS、AJAX、JSON等相關應用
4. 熟悉懂MVC架構佳
5. 有團隊意識 善於溝通, 具有敬業精神 
6. 有團隊開發能力與獨立開發經驗 
7. 面試備作品佳 
8. 想知道更多，請參閱創創官網徵才資訊：https://cc-work.com,- 曾應用及研究及延伸使用開放性 AI 工具者佳。
- 主動積極，自我學習能力強，可接受工作挑戰。,AJAX、ASP.NET、C#、Visual C#、Visual Studio .net、MS SQL、MySQL、HTML、JavaScript、jQuery
提升專業能力
提升專業能力,軟體程式設計、網路程式設計、資料庫系統管理維護、資料庫程式設計、資料庫軟體應用","Internet程式設計師
、MIS程式設計師
、軟體工程師","月薪30,000~60,000元",無需出差外派
https://www.104.com.tw/job/807gm?jobsource=joblist_search,創新研發工程師(台中市),"工作內容：
1. 前後端系統設計、開發、測試、優化與維護。
2. 資料庫設計、佈署、管理與維護。 
3. 視覺介面與功能元件的佈局、開發、優化頁面效能等。 
4. 多瀏覽器版面相容性處理與響應式網頁設計。
5. 具有團隊合作精神。
6.    主管交辦事項

工作條件：(至少兩項)
1. 前端開發: CSS3、SCSS、javascript、Ajax、RWD、Bootstrap、Vue.js、Angular、TypeScript。
2. 後端開發: C#、ASP.Net MVC、.Net Core、Entitiy Framwork、LINQ、WebService、RESTful API 等。
3. 資料庫:  MS SQL、MySQL、Oracle、DB2 等。
4.    版本控制: Git
5.    需有程式開發相關經驗滿三年以上(含)
 

加分條件:
1.    可獨當一面。
2.    喜歡創新與挑戰新技術。
3.    自主學習能力。,不拘,Windows Server 2012、OOAD、OOP、UML、Git、ASP.NET、C#、Visual C#、Visual Studio、MS SQL、MySQL、Oracle、JavaScript、jQuery、CSS、VueJS、Angular、IIS
提升專業能力
提升專業能力,伺服器網站管理維護、資料備份與復原、系統架構規劃、軟體工程系統開發、軟體程式設計、網路程式設計、資料庫系統管理維護、資料庫程式設計、資料庫軟體應用","Internet程式設計師
、MIS程式設計師
、軟體工程師","月薪40,000~80,000元",需出差，一年累積時間約一個月以下
https://www.104.com.tw/job/8ncp1?jobsource=joblist_search,SECS 軟體工程師(中科),"(1)     半導體工廠端TAP段系統應用開發 (VB.NET)
(2)     熟悉SECS機台端訊號串接整合,(1)     具自學、溝通、協調及良好解決問題能力,C#、Visual Basic .net
提升專業能力
提升專業能力,不拘","軟體工程師
、MIS程式設計師
、MES工程師",待遇面議,無需出差外派
https://www.104.com.tw/job/8i3p6?jobsource=joblist_search,資深IT工程師,"【職務內容】
1. 端點設備管理：負責 Windows、行動裝置等端點設備的部署、管理與維護。
2. IT 服務與技術支援：提供第一線技術支援，分析並解決 IT 問題，提高使用者滿意度。
3. 自動化與標準化：利用 PowerShell 或其他自動化工具，優化設備配置、軟體部署及帳號管理流程。
4. 資安與合規維護：落實端點設備的安全防護政策，並定期進行風險評估與改善。
5. ERP 系統維運：協助 ERP 系統維運與設置
6. IT 專案執行：參與並推動 IT 專案，如資訊資產管理、DLP 等技術導入與升級。

【工作技能】
1. 端點管理經驗
2. IT 支援與問題診斷
3. 資安與政策管理
4. 專案管理與執行


【必要條件】
1. 擅長邏輯思考、問題分析和解決能力 
2. 具備團隊精神、責任感、熱愛學習、勇於接受新事物


「用熱情與創新賦能全球夥伴，成就永續塑造未來」
我們熱情歡迎志同道合人才加入鉅鋼 ，歡迎至YouTube搜尋「鉅鋼機械KINGSTEEL」或至鉅鋼機械官方網站瀏覽，讓您更快掌握鉅鋼動態!!!,不拘,Vmware
提升專業能力
提升專業能力,伺服器網站管理維護、系統架構規劃、系統架構規劃與維護、軟硬體設備預算與採買規劃","助理工程師
、MIS程式設計師
、軟體工程師",待遇面議,無需出差外派
https://www.104.com.tw/job/6ia7n?jobsource=joblist_search,【總公司】資訊助理/專員,"1.負責使用者端軟體硬體之維護與故障排除。
2.管理公司內伺服器主機、網路設備。
3.處理各單位資訊作業相關問題。
4.其他外點門市協助資訊相關作業、維護。
5.其他主管交辦事項。,不拘,不拘,電腦設備裝配、資訊設備操作檢修、資訊設備環境設定","MIS程式設計師
、系統工程師
、資訊設備管制人員","月薪32,000元以上",無需出差外派
https://www.104.com.tw/job/8mkyu?jobsource=joblist_search,網路資安工程師,"1.辦公室BGP外網架構、光纖線路、IPLC、內部骨幹線路、機房相關之監控管理、維運、排錯與優化。 
2.管理部屬於網路架構上之資安設備，依需求調整管理政策、排除障礙、優化設備運行效率。
3.針對網路與資安相關之異常訊息與事件，進行相關紀錄追查、分析，找出根因、做出正確處置、形成SOP並據以持續優化與執行改善成效分析。 
4.規劃、建置與管理弱點分析、流量分析、日誌紀錄分析等相關系統，產出相關事件分析結果。
5.支援一般日常網路與資安管理之維護工作。,1.具備BGP網路、中型企業網路架構實際管理經驗者佳。
2.具備無線網路管理系統、次世代防火牆、L7識別入侵偵測防禦系統之維運經驗者佳。
3.具備開源資安解決方案應用經驗者佳。
4.熟悉REST API、JSON、YAML、Python...等程式開發能力者佳。
5.熟悉Ansible、Rundeck等Automation解決方案者佳。,BGP
提升專業能力
提升專業能力,資訊設備環境設定、規劃與管理防火牆","網路管理工程師
、系統工程師
、MIS程式設計師",待遇面議,無需出差外派
https://www.104.com.tw/job/6l48y?jobsource=f_2025career,MIS系統工程師,"1. 伺服器機房Server、Storage類型設備管理、操作、維護。
2. 負責公司內部系統、Services維護，問題排除。
3. 具有設備架構優化之能力。
4. Windows AD及Server、Linux、OSX...等系統基本維護、操作，懂得利用網路資訊及工具解決問題。
5. 公司電腦安裝維護，簡易網路問題排除，User問題解決。,1. 一年以上電腦系統維護相關專業工作經驗。   
2. 熱愛學習資訊相關技術且能提昇自我能力者佳。  
3. 思維敏捷，善於溝通，具備優秀的團隊合作能力。
4. 正向積極，能積極因應突發性事件所造成情況。
加分條件：
1. 有雲端虛擬化與叢集架構之技術領域(GCP/AWS)經驗佳。
2. 熟悉網路架構設計與維運佳。

2025career,Linux、MS SQL、Cisco
提升專業能力
提升專業能力,不拘","網路管理工程師
、資訊設備管制人員
、MIS程式設計師","月薪32,000~60,000元",無需出差外派
https://www.104.com.tw/job/4fbwd?jobsource=joblist_search,PHP 程式設計師( PHP Programmer ),"我們不斷挑戰台灣知名的品牌案例, 
各種電子商務的需求我們照單全收,
讓網站程式設計不在只是套程式結案這樣的乏味,
如果你對程式開發有熱情, 熱愛挑戰極限且創新無極限,
我們正在尋找你!!

我們希望你最好有....

+ 高度審美觀念佳
+ 可以獨立作業
+ 抗壓性富學習力
+ 對程式設計有熱情
+ 有完整網站設計經驗者佳

+ 熟 PHP+mySQL / Laravel / MVC
+ 熟 HTML5 & CSS3
+ 熟 Javascript / jQuery / AJAX 
+ 熟XML / JSON 
+ 瞭解Linux基本操作
+ 二年以上相關工作經驗
+ 有EC / 金流串接經驗


請加入我們的Line官方徵才帳號
https://lin.ee/OUmdsjM,未填寫,AJAX、PHP、MySQL、HTML、Web Master/Developer、jQuery、e-commerce
提升專業能力
提升專業能力,不拘","Internet程式設計師
、軟體工程師
、MIS程式設計師","月薪38,000~50,000元",無需出差外派
https://www.104.com.tw/job/704a2?jobsource=joblist_search,TIPTOP ERP軟體工程師,"1. 鼎新TIPTOP GP5.3 Genero 4GL 客製程式開發及維護工作。
2. Crystal Report報表程式開發。
3. BI報表客製程式開發及維護工作。
4. 其他主管交辦事項。,不拘,不拘,不拘","軟體工程師
、MIS程式設計師
、系統分析師","月薪45,000~60,000元",無需出差外派
https://www.104.com.tw/job/8e4sm?jobsource=joblist_search,【總公司】資深軟體工程師,"1. 用戶需求溝通、程式設計、系統維護、分析報表開發。
2. 有設計及撰寫程式能力並做資料串接流程。
3. 資訊專案開發及導入，管理流程規劃、分析、解決方案評估與追蹤。,不拘,不拘,電腦設備裝配、資訊設備操作檢修、軟體程式設計、軟硬體設備預算與採買規劃","網路管理工程師
、MIS程式設計師
、系統工程師","月薪41,200~57,600元",需出差，一年累積時間未定
https://www.104.com.tw/job/8knmh?jobsource=joblist_search,【大魯閣集團( 台中 )_資訊部】 MIS程式設計師,"【工作內容】
1. 開發、維護及管理集團的應用系統與資料庫，並持續進行優化。確保集團應用系統及資料庫的安全性、穩定性及性能，提供數據的高效存取及應用系統的正常運行。
2. 確保集團所有個人電腦、POS收銀機台及伺服器的軟硬體正常運行與及時更新，並為系統使用者提供技術支持，確保工作環境的穩定性。
3. 維護、管理並優化集團內外部網絡環境及相關設備的運行，確保網絡的高效性、穩定性與安全性，並即時排除網絡異常問題。
4. 維護與管理集團的資訊安全基礎設施，確保集團數據與資訊系統的安全性，防範潛在的安全威脅，免受未授權存取、攻擊和洩露。
5. 支援部門內部的各項額外需求與專案。其他IT相關任務，包括行政庶務、主管交辦事項、支援日常IT運維工作，提高團隊整體執行效率，並確保部門各項工作運作順利進行與目標達成。

【個人特質加分】
1. 溝通能力：擅長跨部門合作，以淺顯易懂的方式說明各項專案導入的評估與規劃。
2. 分析思考：善於對複雜的技術問題進行系統化分析，並提出可行的解決方案。
3. 壓力承受：具備良好的時間管理與多任務處理能力。
4. 成本管理：具成本觀念評估各類資訊系統、資料庫等技術及IT解決方案 。
5. 其他：保持學習的熱情，能夠跟上技術與發展趨勢，並保有團隊合作精神。


【關於我們】
集團官網：https://www.taroko.com.tw/,不拘,Linux、Windows Server 2019、C#、PHP、PowerBuilder、MS SQL、MySQL、Oracle、德安資訊ERP
提升專業能力
提升專業能力,不拘","MIS程式設計師
、系統工程師
、網路管理工程師",待遇面議,無需出差外派
